ID,Nombre Familia,Modified Time,Tipo familia,Codigo Familia,Added Time,Código-Familia
4236940000130779329,INSUMOS GANADERIA,06-Feb-2026 12:21:07,Material,51,04-Nov-2025 09:34:29,51-INSUMOS GANADERIA
4236940000126658019,CARPINTERIA DE ALUMINIO,24-Feb-2026 10:24:56,,12,06-Oct-2025 09:23:19,12-CARPINTERIA DE ALUMINIO
4236940000126658035,INSTALACIONES ELECTRICAS,24-Feb-2026 10:24:56,,29,06-Oct-2025 09:23:19,29-INSTALACIONES ELECTRICAS
4236940000126658051,DESCUENTOS CONDICIONADOS,24-Feb-2026 10:24:56,,54,06-Oct-2025 09:23:19,54-DESCUENTOS CONDICIONADOS
4236940000126658067,TRANSPORTE EQUIPO Y FORMALETA,24-Feb-2026 10:24:56,,62,06-Oct-2025 09:23:19,62-TRANSPORTE EQUIPO Y FORMALETA
4236940000107675007,AGREGADOS MINERALES,24-Feb-2026 10:24:56,Material,07,22-May-2025 06:26:33,07-AGREGADOS MINERALES
4236940000107675023,CARPINTERIA DE MADERA,24-Feb-2026 10:24:56,Material,13,22-May-2025 06:26:33,13-CARPINTERIA DE MADERA
4236940000107675039,CIELOS RASOS,24-Feb-2026 10:24:56,Material,17,22-May-2025 06:26:33,17-CIELOS RASOS
4236940000107675055,EQUIPOS ESPECIALES,24-Feb-2026 10:24:56,Material,21,22-May-2025 06:26:33,21-EQUIPOS ESPECIALES
4236940000107675071,"LADRILLOS, BLOQUES Y ADOQUINES",24-Feb-2026 10:24:56,Material,31,22-May-2025 06:26:33,"31-LADRILLOS, BLOQUES Y ADOQUINES"
4236940000107675087,PINTURA Y GRANIPLAST,24-Feb-2026 10:24:56,Material,37,22-May-2025 06:26:33,37-PINTURA Y GRANIPLAST
4236940000107675103,PREFABRICADOS,24-Feb-2026 10:24:56,Material,41,22-May-2025 06:26:33,41-PREFABRICADOS
4236940000107675119,TUBERIAS Y ACCESORIOS CONCRETO,24-Feb-2026 10:24:56,Material,45,22-May-2025 06:26:33,45-TUBERIAS Y ACCESORIOS CONCRETO
4236940000107675135,REPROCESOS DE OBRA,24-Feb-2026 10:24:56,Material,50,22-May-2025 06:26:33,50-REPROCESOS DE OBRA
4236940000107675151,INSUMOS ADMINISTRATIVOS,24-Feb-2026 10:24:56,Material,81,22-May-2025 06:26:33,81-INSUMOS ADMINISTRATIVOS
4236940000147975073,PAVIMENTOS,24-Feb-2026 10:24:56,,36,06-Feb-2026 12:26:59,36-PAVIMENTOS
4236940000147975089,SAL. INI. MATERI Y CONT. T.C.,24-Feb-2026 10:24:56,,61,06-Feb-2026 12:26:59,61-SAL. INI. MATERI Y CONT. T.C.
4236940000147975105,NOTAS CREDITO/DEBITO,24-Feb-2026 10:24:56,,66,06-Feb-2026 12:26:59,66-NOTAS CREDITO/DEBITO
4236940000147975121,AJUSTE UVR,24-Feb-2026 10:24:56,,70,06-Feb-2026 12:26:59,70-AJUSTE UVR
4236940000147975137,IMPUESTOS,24-Feb-2026 10:24:56,,76,06-Feb-2026 12:26:59,76-IMPUESTOS
4236940000147975153,POLIZAS Y SEGUROS,24-Feb-2026 10:24:56,,82,06-Feb-2026 12:26:59,82-POLIZAS Y SEGUROS
4236940000147975169,"TIMBRES, REGISTROS Y PAZ-SALVO",24-Feb-2026 10:24:56,,87,06-Feb-2026 12:26:59,"87-TIMBRES, REGISTROS Y PAZ-SALVO"
4236940000147975185,GASTOS DE ADMINISTRACIONES,24-Feb-2026 10:24:56,,92,06-Feb-2026 12:26:59,92-GASTOS DE ADMINISTRACIONES
4236940000147975201,TRASLADO COSTO PROYECTOS,24-Feb-2026 10:24:56,,96,06-Feb-2026 12:26:59,96-TRASLADO COSTO PROYECTOS
4236940000149158613,,24-Feb-2026 10:24:56,,86,24-Feb-2026 10:24:56,
4236940000126658007,GASTOS PERSONAL ADMINISTRATIVO,24-Feb-2026 10:24:56,,03,06-Oct-2025 09:23:19,03-GASTOS PERSONAL ADMINISTRATIVO
4236940000126658023,ALQUILER FORMALETA,24-Feb-2026 10:24:56,,23,06-Oct-2025 09:23:19,23-ALQUILER FORMALETA
4236940000126658039,INSTAL HIDRAULICAS Y SANITARIA,24-Feb-2026 10:24:56,,30,06-Oct-2025 09:23:19,30-INSTAL HIDRAULICAS Y SANITARIA
4236940000126658055,ALQUILER EQUIPOS GRUA,24-Feb-2026 10:24:56,,57,06-Oct-2025 09:23:19,57-ALQUILER EQUIPOS GRUA
4236940000125206690,VIDRIOS Y ESPEJOS,24-Feb-2026 10:24:56,Material,48,25-Sep-2025 04:14:36,48-VIDRIOS Y ESPEJOS
4236940000107675011,ALQUILER EQUIPOS DE OBRA,24-Feb-2026 10:24:56,Material,08,22-May-2025 06:26:33,08-ALQUILER EQUIPOS DE OBRA
4236940000107675027,CARPINTERIA METÁLICA,24-Feb-2026 10:24:56,Material,14,22-May-2025 06:26:33,14-CARPINTERIA METÁLICA
4236940000107675043,COMBUSTIBLES Y LUBRICANTES,24-Feb-2026 10:24:56,Material,18,22-May-2025 06:26:33,18-COMBUSTIBLES Y LUBRICANTES
4236940000107675059,FERRETERIA Y HERRAMIENTAS,24-Feb-2026 10:24:56,Material,22,22-May-2025 06:26:33,22-FERRETERIA Y HERRAMIENTAS
