codigo,nombre,tipo,n_articulos,revisar_nombre,factor_ajuste_anual
02,MANO DE OBRA,Mano de obra,1828,false,1
03,GASTOS PERSONAL ADMINISTRATIVO,,24,false,1
04,SEGURIDAD SOCIAL CONTRATISTA,,1,false,1
05,SERVICIOS TEMPORALES,,0,false,1
06,"ADITIVOS, IMPERMEAB Y ACELERAN",Material,564,false,1.06
07,AGREGADOS MINERALES,Material,98,false,1.06
08,ALQUILER EQUIPOS DE OBRA,Material,100,false,1
09,APARATOS DE COCINA,Material,530,false,1.06
10,APARATOS SANITARIOS,Material,648,false,1.06
11,ASEOS ACABADOS,,90,false,1.07
12,CARPINTERIA DE ALUMINIO,,59,false,1
13,CARPINTERIA DE MADERA,Material,263,false,1
14,CARPINTERIA METÁLICA,Material,212,false,1
15,CEMENTOS Y YESOS,Material,44,false,1.065
16,CERRAJERIA Y HERRAJES,Material,211,false,1.06
17,CIELOS RASOS,Material,66,false,1
18,COMBUSTIBLES Y LUBRICANTES,Material,22,false,1.08
19,CONCRETOS Y MORTEROS,Material,664,false,1.065
20,ENCHAPES,Material,635,false,1.055
21,EQUIPOS ESPECIALES,Material,865,false,1.06
22,FERRETERIA Y HERRAMIENTAS,Material,1388,false,1.05
23,ALQUILER FORMALETA,,46,false,1
24,GARANTIA ( POSTVENTA),Material,1,false,1
25,GRANITOS Y MARMOLES,,40,false,1
26,GRIFERIAS Y ACCESORIOS,Material,841,false,1.06
27,HIERROS Y ACEROS,Material,215,false,1.06
28,IMPERMEABILIZACIONES,,19,false,1.07
29,INSTALACIONES ELECTRICAS,,74,false,1
30,INSTAL HIDRAULICAS Y SANITARIA,,24,false,1
31,"LADRILLOS, BLOQUES Y ADOQUINES",Material,141,false,1.06
32,MADERA DE OBRA,Material,362,false,1.055
33,MADERAS TRATADAS,Material,38,false,1.055
34,MATERIALES Y ACCESORIOS ELECTR,Material,712,false,1.07
35,MOVIMIENTO DE TIERRA,,30,false,1
36,PAVIMENTOS,,29,false,1.07
37,PINTURA Y GRANIPLAST,Material,279,false,1.07
38,PISOS,Material,1619,false,1.055
39,"PLASTICOS, GEOTEXTILES Y MANTO",Material,113,false,1.06
40,PRADOS Y ÁRBOLES,Material,85,false,1.05
41,PREFABRICADOS,Material,134,false,1.05
42,TEJAS Y ELEMENTOS DE CUBIERTA,Material,264,false,1.05
43,TOPOGRAFIA,Material,10,false,1.07
44,TRANSPORTE,Material,146,false,1.07
45,TUBERIAS Y ACCESORIOS CONCRETO,Material,91,false,1.05
46,TUBERIAS Y ACCESORIOS METALICO,Material,2622,false,1.05
47,TUBERIAS Y ACCESORIOS EN PVC,Material,2729,false,1.05
48,VIDRIOS Y ESPEJOS,Material,99,false,1.05
49,SEGURIDAD INDUSTRIAL & SISOMA,Material,342,false,1.05
50,REPROCESOS DE OBRA,Material,72,false,1.05
51,INSUMOS GANADERIA,Material,53,false,1.05
52,PILOTAJE,Material,29,false,1.05
53,ELEMENTO METALICO ESTRUCTURAL,Material,12,false,1.06
54,DESCUENTOS CONDICIONADOS,,0,false,1
55,MAYOR O MENOR VR. EN ORDEN DE,,1,false,1
56,RETIRO DE ACTIVOS,,0,false,1
57,ALQUILER EQUIPOS GRUA,,10,false,1
58,MANTENIMIENTO DE EQUIPOS,,39,false,1
59,MANTENIMIENTO FORMALETA,,10,false,1
60,SALDOS INICIALES MDEO,,1,false,1
61,SAL. INI. MATERI Y CONT. T.C.,,4,false,1
62,TRANSPORTE EQUIPO Y FORMALETA,,11,false,1
63,TRANSPORTE DE ESCOMBROS,,12,false,1
64,ASEO DE ESCOMBROS,,0,false,1
65,VIGILANCIA Y CELADURIA,,4,false,1
66,NOTAS CREDITO/DEBITO,,0,false,1
67,AJUSTE INVENTARIO,,0,false,1
68,TERRENOS,,0,false,1
69,TRASLADO TERRENOS,,0,false,1
70,AJUSTE UVR,,5,false,1.07
71,ALIMENTACION Y OTROS,,0,false,1.07
72,CONSUMO DE SERVICIOS PUBLICOS,,2,false,1.07
73,MOBILIARIOS Y DECORACIONES,Material,142,false,1.07
74,ENSAYOS DE LABORATORIO,Material,5,false,1.07
75,HONORARIOS,,23,false,1.07
76,IMPUESTOS,,0,false,1.07
77,INTERESES,,0,false,1.07
78,LEGALES Y NOTARIALES,,0,false,1.07
79,CONSULTORIAS,,1,false,1
80,MATRICULAS SERVICIOS PUBLICOS,Material,31,false,1.07
81,INSUMOS ADMINISTRATIVOS,Material,25,false,1.07
82,POLIZAS Y SEGUROS,,0,false,1.07
83,PUBLICIDAD,,11,false,1.07
84,PROVISIONAL DE SERVICIOS PUBLI,,0,false,1.07
85,COMISIONES DE VENTAS,,0,false,1.07
86,FAMILIA 86,,0,true,1
87,"TIMBRES, REGISTROS Y PAZ-SALVO",,0,false,1.07
88,TRANSPORTE URBANO,,0,false,1.07
89,VARIOS (INDIRECTOS),,0,false,1.07
90,GASTOS DE REPRESENTACION,,26,false,1.07
91,GASTOS BANCARIOS,Material,2,false,1.07
92,GASTOS DE ADMINISTRACIONES,,4,false,1.07
93,IVA NO RECUPERADO,,1,false,1.07
94,DEPRECIACION,,0,false,1.07
95,TRASLADO COSTO DE VENTA,,0,false,1.07
96,TRASLADO COSTO PROYECTOS,,0,false,1
97,SALDOS INICIALES,,0,false,1.07
98,INVENTARIOS OTROS,,0,false,1
99,AJUSTES POR INFLACION,,0,false,1
441,TRANSPORTE SIN IVA,Material,0,false,
523560,OBSEQUIOS,Material,0,false,
OAD,Sin nombre en el maestro (OAD),,8,true,
