codigo,descripcion,unidad_medida,familia,tipo_linea,activo,n_sucursales_con_precio,n_usos_en_obras
0,P. GENERICO ELEVADOR CARGA DOB,UN,90,S,false,0,0
01101,COMISION TOPOGRAFICA,UN,43,B,true,7,1
01102,ALQUILER EQUIPO TOPOGRAFICO,UN,43,B,true,6,0
01201,DIGITACION Y PLOTEO DE PLANOS,UN,75,B,false,0,0
01202,LOCALIZACION Y REPLANTEO,M2,02,B,false,0,0
02101,PILAS EN CICLOPEO,M3,02,B,false,0,0
02102,CAMPANAS-PATA ELEFANTE-CAISSON,M3,02,B,true,7,0
02103,FUSTES PARA CAISSONS,M3,02,B,true,7,0
02105,MANEJO HIERRO,KG,02,B,false,0,0
02106,DESCABECE PILOTES COMPRESOR,M3,52,B,true,7,1
02108,PRE-HUECOS PILOTES,UN,52,B,false,0,0
02110,MANEJO MALLA,KG,02,B,false,0,0
02111,CABEZAL CAISSONS,UN,02,B,false,0,0
02112,CONCRETO BASE PILAS,M3,02,B,false,0,0
02113,DADO EN CONCRETO,UN,02,B,false,0,0
02114,CONCRETO PILOTES,M3,52,B,true,0,1
02115,ACERO DE REFUERZO - PILOTES,KG,52,B,true,0,1
02122,EXCAVACION Y FUNDIDA PILOTES,M3,52,B,true,0,1
02123,INSTRUMENTACION GEOTECNICA,UN,21,B,false,0,0
02201,ZAPATA REFORZADA,M3,02,B,true,7,0
02202,ENTABLERADA VIGA T INVERTIDA,ML,02,B,false,0,0
02203,PLACA REFUERZO CIMIENTO,M2,02,B,false,0,0
02301,MURO EN CICLOPEO 1 CARA,M2,02,B,true,1,0
02302,MURO EN CICLOPEO 2 CARAS,M2,02,B,true,1,0
02303,ZARPA MURO CONTENCION,M3,02,B,false,0,0
02401,VIGA CIMENTACION REFORZADA,ML,02,B,false,0,0
02403,VIGA DE AMARRE CIMIENTO,M3,02,B,false,0,0
02404,VIGA TEE INVERTIDA,ML,02,B,false,0,0
02501,CONCRETO CICLOPEO,M3,02,B,false,0,0
02502,CONCRETO DE LIMPIEZA,M2,02,B,false,0,0
02504,CONCRETO CIMENTACION,M3,02,B,false,0,0
02601,SOBRECIMIENTO MAMPOSTERIA (M2),M2,02,B,false,0,0
02602,SOBRECIMIENTO MAMPOSTERIA (ML),ML,02,B,false,0,0
02603,SOBRECIMIENTO IMPERMEABILIZADO,ML,02,B,false,0,0
02604,SOBRECIMIENTO IMPERMEABILIZADO,ML,02,B,false,0,0
02701,IMPERMEABILIZACION ASFALTO,M2,02,B,true,6,0
02702,PROTECCION TALUDES MORTERO,M2,02,B,false,0,0
03101,CAJA INSPECCION >0.80,UN,02,B,false,0,0
03102,CAJA INSPECCION 0.40 A 0.60,UN,02,B,false,0,0
03103,CAJA INSPECCION 0.60 A 0.80,UN,02,B,false,0,0
03104,CAJA DESAGUE LAVADERO,UN,02,B,false,0,0
03105,REMATE CAJAS,UN,02,B,false,0,0
03201,"DESAGUE TUBERIA PVC 2""",ML,02,B,false,0,0
03202,"DESAGUE TUBERIA PVC 3""",ML,02,B,false,0,0
03203,"DESAGUE TUBERIA PVC 4""",ML,02,B,false,0,0
03204,"DESAGUE TUBERIA PVC 6""",ML,02,B,true,7,1
03205,"DESAGUE TUBERIA PVC 1/2""",ML,02,B,false,0,0
03206,"DESAGUE TUBERIA PVC 3/4""",ML,02,B,false,0,0
03207,"DESAGUE TUBERIA PVC 2"" PLACA",ML,02,B,false,0,0
03208,"DESAGUE TUBERIA PVC 3"" PLACA",ML,02,B,false,0,0
03209,"DESAGUE TUBERIA PVC 4"" PLACA",ML,02,B,false,0,0
03210,"DESAGUE TUBERIA PVC 6"" PLACA",ML,02,B,false,0,0
04101,MAMP. REFORZADA FRISAR M2,M2,02,B,false,0,0
04102,MAMP. REFORZADA FRISAR ML,ML,02,B,false,0,0
04105,MAMP. REFORZADA A LA VISTA M2,M2,02,B,false,0,0
04106,MAMP. REFORZADA A LA VISTA ML,ML,02,B,false,0,0
04111,MAMP. EN EXTRUBLOCK M2,M2,02,B,false,0,0
04112,MAMP. EN EXTRUBLOCK ML,ML,02,B,false,0,0
04113,MAMP. EN EXTRUBLOCK ALTURAS,M2,02,B,false,0,0
04115,LADRILLO STAFE ROTONDA M2,M2,02,B,false,0,0
04116,LADRILLO STAFE ROTONDA ML,ML,02,B,false,0,0
04201,MAMP. BLOQUE E-14 M2,M2,02,B,false,0,0
04202,MAMP. BLOQUE E-14 ML,ML,02,B,false,0,0
04203,MAMP. BLOQUE E9-E11-E14 M2,M2,02,B,false,0,0
04204,MAMP. BLOQUE E-9 ML,ML,02,B,false,0,0
04205,MAMP. CURVO EXTRUBLOCK,M2,02,B,false,0,0
04206,MAMP. CURVO P-12,M2,02,B,false,0,0
04207,MAMP. EXTRUBL FACH ALTURAS M2,M2,02,B,false,0,0
04208,MAMP. EXTRUBL FACH ALTURAS ML,ML,02,B,false,0,0
04209,MAMP. H-10 M2,M2,02,B,false,0,0
04210,MAMP. H-10 ML,ML,02,B,false,0,0
04211,MAMP. H-15 M2,M2,02,B,false,0,0
04212,MAMP. H-15 ML,ML,02,B,false,0,0
04213,MAMP. P-12 M2,M2,02,B,false,0,0
04214,MAMP. P-12 ML,ML,02,B,false,0,0
04215,PISANTE MAMPOSTERIA EXTRUBLOCK,ML,02,B,false,0,0
04216,PISANTE MAMPOSTERIA EN LIMPIO,ML,02,B,true,7,0
04217,VANOS MAMPOSTERIA,M2,02,B,false,0,0
04218,BLOQUE Nº 4 M2,M2,02,B,false,0,0
04219,BLOQUE Nº 4 ML,ML,02,B,false,0,0
04220,MURO CARGA E=0.25,M2,02,B,false,0,0
04221,MURO CARGA E=0.12,M2,02,B,false,0,0
04222,MAMP. LADRILLO PRENSADO M2,M2,02,B,false,0,0
04301,MAMP. EXTRUBLOCK FACHADA M2,M2,02,B,false,0,0
04302,MAMP. EXTRUBLOCK FACHADA ML,ML,02,B,false,0,0
04303,MAMP. P-12 FACHADA ALTURAS M2,M2,02,B,false,0,0
04304,MAMP. P-12 FACHADA ALTURAS ML,ML,02,B,false,0,0
04305,MAMP. P-12 FACHADA M2,M2,02,B,false,0,0
04306,MAMP. P-12 FACHADA ML,ML,02,B,false,0,0
04307,LADR. ESTRUCT PORT. TREFIL. M2,M2,02,B,false,0,0
04308,LADR. ESTRUCT PORT. TREFIL. ML,ML,02,B,false,0,0
04309,HILADA PARADA,ML,02,B,false,0,0
04310,LADRILLO STAFE FACHADA ML,ML,02,B,false,0,0
04311,ENCHAPE STAFE FACHADA ML,ML,02,B,false,0,0
04403,REPLANTEO MAMPOSTERIA,ML,02,B,true,1,0
04404,BLOQUE ESTRUCTURAL PV M2,M2,02,B,false,0,0
04405,BLOQUE ESTRUCTURAL PV ML,ML,02,B,false,0,0
04406,BLOQUE ESTRUCT PV (LIMPIO) M2,M2,02,B,false,0,0
04407,BLOQUE ESTRUCT PV (LIMPIO) ML,ML,02,B,false,0,0
04408,CUCHILLAS BLOQUE M2,M2,02,B,false,0,0
04411,BLOQUE PV #5 MEDIO HORIZ M2,M2,02,B,false,0,0
04412,BLOQUE PV #5 MEDIO HORIZ. ML,ML,02,B,false,0,0
04413,HILADA BLOQUE,ML,02,B,false,0,0
04414,CORTES MAMPOSTERIA,UN,02,B,false,0,0
04501,GROUTING = CASTILLOS,ML,02,B,false,0,0
04502,INSTALACION LAVADERO,UN,02,B,true,7,0
04503,MEZCLA MORTERO,M3,02,B,false,0,0
04504,CINTA AMARRE BLOQUE,ML,02,B,false,0,0
04505,ANCLAJE MAMPOSTERIA,UN,02,B,true,7,0
04506,REFUERZO MAMPOSTERIA,ML,02,B,false,0,0
04507,PIEDRAS MESON COCINA,KG,02,B,false,0,0
04508,PIEDRAS MESON LAVADERO,KG,02,B,false,0,0
04509,VANOS MAMPOSTERIA,M2,02,B,false,0,0
04510,VANOS MAMPOSTERIA EXTRUBLOCK F,M2,02,B,false,0,0
04511,VANOS MAMPOSTERIA P-12 FACHADA,M2,02,B,false,0,0
04603,LAVADO MAMPOSTERIA LIMPIO,M2,11,B,false,0,0
04605,APLICACIÓN  IMPERMEABILIZANTE,M2,02,B,false,0,0
04607,LAVADA PUNTO FIJO CON ACABADOS,M2,11,B,false,0,0
