codigo,nivel,codigo_padre,descripcion,unidad_medida,plantilla,activa,origen
01000000,4,,PRELIMINARES,,EDIFICACION,true,MAESTRO
01001000,5,01000000,LOCALIZACION,,EDIFICACION,true,MAESTRO
01001001,8,01001000,COMISION-ALQ. EQUIPO,,EDIFICACION,true,MAESTRO
01001001.1001,10,01001001,PREL ALQ EQUIPO TOPOGRAFICO,UN,EDIFICACION,true,MAESTRO
01001001.1002,10,01001001,PREL COMISION TOPOGRAFICA,UN,EDIFICACION,true,MAESTRO
01001999,8,01001000,ACTIVIDADES VARIAS,,EDIFICACION,true,MAESTRO
01001999.1001,10,01001999,CIMEN ACTIVIDADES VARIAS AY,M3,EDIFICACION,true,MAESTRO
02000000,4,,CIMENTACION,,EDIFICACION,true,MAESTRO
02001000,5,02000000,EXCAVACIONES Y RELLENOS,,EDIFICACION,true,MAESTRO
02001001,8,02001000,EXC A MANO Y PRELIMIN,,EDIFICACION,true,MAESTRO
02001001.1001,10,02001001,PRE LOCALIZACION-REPLANT/EJES,M2,EDIFICACION,true,MAESTRO
02001001.1002,10,02001001,"CIMEN EXC A MANO <2,5m",M3,EDIFICACION,true,MAESTRO
02001001.1003,10,02001001,"CIMEN EXC A MANO >2,5m",M3,EDIFICACION,true,MAESTRO
02001001.1004,10,02001001,"CIMEN EXCAVACION EN ROCA <2,5m",M3,EDIFICACION,true,MAESTRO
02001001.1005,10,02001001,"CIMEN EXCAVACION EN ROCA >2,5m",M3,EDIFICACION,true,MAESTRO
02001001.1006,10,02001001,CIMEN SOLADO,M2,EDIFICACION,true,MAESTRO
02001001.1007,10,02001001,CIMEN SUP RETIRO TIERR EXC,M3,EDIFICACION,true,MAESTRO
02001006,8,02001000,RELLENOS,,EDIFICACION,true,MAESTRO
02001006.1001,10,02001006,CIMEN RELLENOS,M3,EDIFICACION,true,MAESTRO
02001006.1002,10,02001006,CIMEN RELLENOS ACARREO MATER,M3,EDIFICACION,true,MAESTRO
02001006.1003,10,02001006,CIMEN RELL MEJORAMIENTO SUELO,M3,EDIFICACION,true,MAESTRO
02001006.1004,10,02001006,CIMEN GEOMALL/GEOTX MEJ SUELO,M2,EDIFICACION,true,MAESTRO
02002000,5,02000000,CIMENTACION SUPERFICIAL,,EDIFICACION,true,MAESTRO
02002005,8,02002000,CONCRETO VIGAS-ZAPATAS,,EDIFICACION,true,MAESTRO
02002005.1001,10,02002005,CIMEN CONC VIGA 0.35< h< 1.2m,M3,EDIFICACION,true,MAESTRO
02002005.1002,10,02002005,CIMEN CONCRETO VIGAS H:>1.2m,M3,EDIFICACION,true,MAESTRO
02002005.1004,10,02002005,CIMEN CONCRETO ZAPATAS,M3,EDIFICACION,true,MAESTRO
02002005.1005,10,02002005,CIMEN PROF CONC DADOS PILOTAJE,M3,EDIFICACION,true,MAESTRO
02002005.1006,10,02002005,CIMEN FOSO ASCENSOR PLACA,M3,EDIFICACION,true,MAESTRO
02002005.1007,10,02002005,CIMEN FOSO ASCENSOR MUROS,M3,EDIFICACION,true,MAESTRO
02002005.1008,10,02002005,CIMEN CONCRETO CICLOPEO,M3,EDIFICACION,true,MAESTRO
02002005.1009,10,02002005,CIMEN PLACA ALIGERA H>1m,M2,EDIFICACION,true,MAESTRO
02002005.1010,10,02002005,"CIMEN LOSA DE CIMENTAC H>0,25",M3,EDIFICACION,true,MAESTRO
02002005.1011,10,02002005,CIMEN IMPERMEA MUROS DE ARRANQUE,M2,EDIFICACION,true,MAESTRO
02002005.1012,10,02002005,CIMEN CONC VIGA h<0.35,ML,EDIFICACION,true,MAESTRO
02002006,8,02002000,PLACA ANTEPISO,,EDIFICACION,true,MAESTRO
02002006.1004,10,02002006,"ANTEPISO PLACA CONCRE H: <0,25",M2,EDIFICACION,true,MAESTRO
02002006.1005,10,02002006,SOBREPLACA ALIGERADA,M2,EDIFICACION,true,MAESTRO
02002006.1006,10,02002006,RAMPA SOBRE TERRENO,M2,EDIFICACION,true,MAESTRO
02002006.1007,10,02002006,RAMPA AEREA  ANTEPISO,M2,EDIFICACION,true,MAESTRO
02002999,8,02002000,ACTIVIDADES VARIAS,,EDIFICACION,true,MAESTRO
02002999.1001,10,02002999,CIMEN ACTIVIDADES VARIAS AY,UN,EDIFICACION,true,MAESTRO
02002999.1002,10,02002999,CIMEN ACTIVIDADES VARIAS OF,UN,EDIFICACION,true,MAESTRO
02004000,5,02000000,CIMENTACION PROFUNDA,,EDIFICACION,true,MAESTRO
02004006,8,02004000,PILOTES,,EDIFICACION,true,MAESTRO
02004006.1001,10,02004006,CIMEN PROF PILOTES 0.3,ML,EDIFICACION,true,MAESTRO
02004006.1002,10,02004006,CIMEN PROF PILOTES 0.4,ML,EDIFICACION,true,MAESTRO
02004006.1003,10,02004006,CIMEN PROF PILOTES 0.5,ML,EDIFICACION,true,MAESTRO
02004006.1004,10,02004006,CIMEN PROF PILOTES 0.6,ML,EDIFICACION,true,MAESTRO
02004006.1005,10,02004006,CIMEN PROF PILOTES 0.7,ML,EDIFICACION,true,MAESTRO
02004006.1006,10,02004006,CIMEN PROF PILOTES 0.8,ML,EDIFICACION,true,MAESTRO
02004006.1007,10,02004006,CIMEN PROF PILOTES 0.9,ML,EDIFICACION,true,MAESTRO
02004006.1008,10,02004006,CIMEN PROF PILOTES 1.0,ML,EDIFICACION,true,MAESTRO
02004006.1009,10,02004006,CIMEN PROF PILOTES 0.25,ML,EDIFICACION,true,MAESTRO
02004006.1011,10,02004006,CIMEN PROF PREHUECOS PILOTES,UN,EDIFICACION,true,MAESTRO
02004006.1012,10,02004006,CIMEN PROF DESCABECE PILOTES,M3,EDIFICACION,true,MAESTRO
02004006.1014,10,02004006,CIMEN PROF RETIRO DE LODOS,M3,EDIFICACION,true,MAESTRO
02004006.1015,10,02004006,CIMEN PROF CAISSONS D:1.2,ML,EDIFICACION,true,MAESTRO
02004006.1016,10,02004006,CIMEN PROF CAISSONS D:1.8,ML,EDIFICACION,true,MAESTRO
02004006.1017,10,02004006,CIMEN PROF CAISSONS D:2.1,ML,EDIFICACION,true,MAESTRO
02004006.1018,10,02004006,CIMEN PROF CAISSONS D:2.2,ML,EDIFICACION,true,MAESTRO
02004007,8,02004000,PANTALLAS Y BARRETES,,EDIFICACION,true,MAESTRO
02004007.1001,10,02004007,CIMEN PANTALLA/BARRETES 0.25,M2,EDIFICACION,true,MAESTRO
02004007.1002,10,02004007,CIMEN PANTALLA/BARRETES 0.3,M2,EDIFICACION,true,MAESTRO
