articulo,sucursal,tipo,lista_origen,anio_base,precio_anio_1,precio_anio_2,precio_anio_3,precio_anio_4,alcance,observacion
61001,BUCARAMANGA,MAT,OG MARVAL V03,2025,7810.0,8279.0,8776.0,9303.0,,
61001,CARTAGENA,MAT,OG MARVAL V03,2025,9670.0,10250.0,10865.0,11517.0,,
61009,BOGOTA,MAT,OG MARVAL V03,2025,964600.0,1022476.0,1083825.0,1148855.0,,
61010,BOGOTA,MAT,OG MARVAL V03,2025,17840.0,18910.0,20045.0,21248.0,,
61012,BUCARAMANGA,MAT,OG MARVAL V03,2025,4410.0,4675.0,4956.0,5253.0,,
61012,BOGOTA,MAT,OG MARVAL V03,2025,4410.0,4675.0,4956.0,5253.0,,
61012,BARRANQUILLA,MAT,OG MARVAL V03,2025,4410.0,4675.0,4956.0,5253.0,,
61012,CALI,MAT,OG MARVAL V03,2024,4410.0,4675.0,4956.0,5253.0,,
61012,CARTAGENA,MAT,,2025,4681.0,4962.0,5260.0,5576.0,,
61012,ZIPAQUIRA,MAT,OG MARVAL V03,2025,4670.0,4950.0,5247.0,5562.0,,
61013,BUCARAMANGA,MAT,OG MARVAL V03,2025,13630.0,14448.0,15315.0,16234.0,,
61013,ZIPAQUIRA,MAT,OG MARVAL V03,2025,7950.0,8427.0,8933.0,9469.0,,
61014,BUCARAMANGA,MAT,OG MARVAL V03,2025,11580.0,12275.0,13012.0,13793.0,,
61017,BOGOTA,MAT,OG MARVAL V03,2025,4530.0,4802.0,5090.0,5395.0,,
61018,BUCARAMANGA,MAT,OG MARVAL V03,2025,5290.0,5607.0,5943.0,6300.0,,
61018,BOGOTA,MAT,OG MARVAL V03,2025,5020.0,5321.0,5640.0,5978.0,,
61018,BARRANQUILLA,MAT,OG MARVAL V03,2025,5610.0,5947.0,6304.0,6682.0,,
61018,CARTAGENA,MAT,OG MARVAL V03,2025,5610.0,5947.0,6304.0,6682.0,,
61019,BUCARAMANGA,MAT,OG MARVAL V03,2025,4740.0,5024.0,5325.0,5645.0,,
61019,BOGOTA,MAT,OG MARVAL V03,2025,3560.0,3774.0,4000.0,4240.0,,
61019,BARRANQUILLA,MAT,OG MARVAL V03,2025,5739.0,6083.0,6448.0,6835.0,,
61019,CARTAGENA,MAT,,2025,5739.0,6083.0,6448.0,6835.0,,
61019,ZIPAQUIRA,MAT,OG MARVAL V03,2025,3590.0,3805.0,4033.0,4275.0,,
61021,BUCARAMANGA,MAT,OG MARVAL V03,2025,62360.0,66102.0,70068.0,74272.0,,
61021,BOGOTA,MAT,OG MARVAL V03,2025,210190.0,222801.0,236169.0,250339.0,,
61021,BARRANQUILLA,MAT,OG MARVAL V03,2025,263770.0,279596.0,296372.0,314154.0,,
61021,CARTAGENA,MAT,,2025,263770.0,279596.0,296372.0,314154.0,,
61021,ZIPAQUIRA,MAT,OG MARVAL V03,2025,215310.0,228229.0,241923.0,256438.0,,
61023,BUCARAMANGA,MAT,OG MARVAL V03,2025,17220.0,18253.0,19348.0,20509.0,,
61023,BARRANQUILLA,MAT,OG MARVAL V03,2025,19630.0,20808.0,22056.0,23379.0,,
61023,CARTAGENA,MAT,,2025,19630.0,20808.0,22056.0,23379.0,,
61035,BUCARAMANGA,MAT,OG MARVAL V03,2025,15040.0,15942.0,16899.0,17913.0,,
61035,BOGOTA,MAT,OG MARVAL V03,2025,36160.0,38330.0,40630.0,43068.0,,
61038,CARTAGENA,MAT,OG MARVAL V03,2025,2630.0,2788.0,2955.0,3132.0,,
61039,BUCARAMANGA,MAT,OG MARVAL V03,2025,2040.0,2162.0,2292.0,2430.0,,
61039,BOGOTA,MAT,OG MARVAL V03,2025,1630.0,1728.0,1832.0,1942.0,,
61039,CARTAGENA,MAT,OG MARVAL V03,2025,2180.0,2311.0,2450.0,2597.0,,
61041,BUCARAMANGA,MAT,OG MARVAL V03,2025,6060.0,6424.0,6809.0,7218.0,,
61041,BOGOTA,MAT,OG MARVAL V03,2025,2260.0,2396.0,2540.0,2692.0,,
61041,BARRANQUILLA,MAT,OG MARVAL V03,2025,2118.0,2245.0,2380.0,2523.0,,
61041,CALI,MAT,OG MARVAL V03,2024,2260.0,2396.0,2540.0,2692.0,,
61041,CARTAGENA,MAT,OG MARVAL V03,2025,2330.0,2470.0,2618.0,2775.0,,
61041,ZIPAQUIRA,MAT,OG MARVAL V03,2025,5720.0,6063.0,6427.0,6813.0,,
61042,BUCARAMANGA,MAT,OG MARVAL V03,2025,4620.0,4897.0,5191.0,5502.0,,
61042,BOGOTA,MAT,OG MARVAL V03,2025,4620.0,4897.0,5191.0,5502.0,,
61042,BARRANQUILLA,MAT,OG MARVAL V03,2025,2330.0,2470.0,2618.0,2775.0,,
61042,CALI,MAT,OG MARVAL V03,2024,2020.0,2141.0,2269.0,2405.0,,
61042,CARTAGENA,MAT,OG MARVAL V03,2025,2330.0,2470.0,2618.0,2775.0,,
61042,ZIPAQUIRA,MAT,OG MARVAL V03,2025,4360.0,4622.0,4899.0,5193.0,,
61044,BUCARAMANGA,MAT,OG MARVAL V03,2025,3150.0,3339.0,3539.0,3751.0,,
61044,BOGOTA,MAT,OG MARVAL V03,2025,3070.0,3254.0,3449.0,3656.0,,
61044,BARRANQUILLA,MAT,OG MARVAL V03,2025,3872.0,4104.0,4350.0,4611.0,,
61044,CALI,MAT,OG MARVAL V03,2024,3980.0,4219.0,4472.0,4740.0,,
61044,CARTAGENA,MAT,OG MARVAL V03,2025,3872.0,4104.0,4350.0,4611.0,,
61045,BUCARAMANGA,MAT,OG MARVAL V03,2025,34310.0,36369.0,38551.0,40864.0,,
61045,BOGOTA,MAT,OG MARVAL V03,2025,46620.0,49417.0,52382.0,55525.0,,
61045,CALI,MAT,OG MARVAL V03,2024,7950.0,8427.0,8933.0,9469.0,,
61047,BOGOTA,MAT,OG MARVAL V03,2025,103330.0,109530.0,116102.0,123068.0,,
61047,BARRANQUILLA,MAT,OG MARVAL V03,2025,108440.0,114946.0,121843.0,129154.0,,
61047,CARTAGENA,MAT,,2025,108440.0,114946.0,121843.0,129154.0,,
61050,BUCARAMANGA,MAT,OG MARVAL V03,2025,4140.0,4388.0,4651.0,4930.0,,
61050,BOGOTA,MAT,OG MARVAL V03,2025,4140.0,4388.0,4651.0,4930.0,,
61050,BARRANQUILLA,MAT,OG MARVAL V03,2025,4140.0,4388.0,4651.0,4930.0,,
61050,CARTAGENA,MAT,,2025,4140.0,4388.0,4651.0,4930.0,,
61053,BUCARAMANGA,MAT,OG MARVAL V03,2025,4750.0,5035.0,5337.0,5657.0,,
61053,BOGOTA,MAT,OG MARVAL V03,2025,5040.0,5342.0,5663.0,6003.0,,
61053,BARRANQUILLA,MAT,OG MARVAL V03,2025,4872.0,5164.0,5474.0,5802.0,,
61053,CALI,MAT,OG MARVAL V03,2024,6550.0,6943.0,7360.0,7802.0,,
61053,CARTAGENA,MAT,OG MARVAL V03,2025,5880.0,6233.0,6607.0,7003.0,,
61057,BUCARAMANGA,MAT,OG MARVAL V03,2025,67560.0,71614.0,75911.0,80466.0,,
61057,BOGOTA,MAT,OG MARVAL V03,2025,69710.0,73893.0,78327.0,83027.0,,
