codigo,descripcion,capitulo_codigo,capitulo,familia,unidad,anio,no_inventariable,precio_barranquilla,precio_bogota,precio_bucaramanga,precio_cali,precio_cartagena,precio_santa_marta,precio_zipaquira
A01,Comisión Dia de topografía,A,"PRELIMINARES, EXCAVACION Y RELLENOS",TOPOGRAFIA,UN,2026,01101,210608.28,120058.05,180952.24,554421.71,236934.31,138066.76,138066.76
A10,Cerramiento en lámina Lisa Galvanizada Todo Costo,A,"PRELIMINARES, EXCAVACION Y RELLENOS",CERRAMIENTOS,ML,2026,60729,50681.65,,,,55749.82,,
A12,Desmonte Cerramiento polisombra,A,"PRELIMINARES, EXCAVACION Y RELLENOS",CERRAMIENTOS,ML,2026,70395,1992.74,2862.74,2513.92,2447.01,2192.01,3292.15,3292.15
A13,Desmonte Cerramiento en Zinc,A,"PRELIMINARES, EXCAVACION Y RELLENOS",CERRAMIENTOS,ML,2026,70479,,7655.09,7091.73,7856.03,,8803.35,8803.35
A14,Desmonte Cerramiento en Malla Electrosoldada,A,"PRELIMINARES, EXCAVACION Y RELLENOS",CERRAMIENTOS,ML,2026,70956,,,,5780.10,,,
A15,Excavación en Material Comun a mano > 2.5 mts,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,24106,32083.17,52805.02,31497.30,34190.33,35291.48,60725.27,60725.27
A16,"Excavación en Material Comun a mano < 2,5 m",A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,60184,31187.43,51876.10,30941.65,30209.65,34306.17,59657.52,59657.52
A17,"Excavación en Material Recebo a mano < 2,5 m",A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,70000,,33744.11,,42074.85,,38805.73,38805.73
A18,Retiro Tierra,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,24104,7768.90,8474.19,8117.15,7132.56,8545.79,9745.32,9745.32
A19,Entibado para Excavación,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M2,2026,60260,8654.05,9711.74,9711.76,8899.06,9519.45,11168.51,11168.51
A02,Comisión Dia de topografía- Desplazamiento/ Hospedaje,A,"PRELIMINARES, EXCAVACION Y RELLENOS",TOPOGRAFIA,UN,2026,75500,,,,,,58726.29,38414.97
A20,Relleno con pisón,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,24201,18097.01,18427.72,18859.04,17706.31,19906.71,21191.88,21191.88
A21,Relleno con Plancha Material Común,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,24202,25623.39,35937.59,31250.08,30597.71,28185.73,41328.23,41328.23
A22,Relleno con Plancha Material Recebo,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M3,2026,70955,,50086.90,,,,57599.93,57599.93
A23,Replanteo Manual en Tierra / Localización de ejes.,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M2,2026,24401,2916.65,3542.34,3951.86,2281.79,3208.32,4073.69,4073.69
A24,Perfilada de Talud en Muros,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M2,2026,60733,,4206.77,3994.18,4706.53,,4837.78,4837.78
A25,Corte en tierra,A,"PRELIMINARES, EXCAVACION Y RELLENOS",MOVIMIENTO DE TIERRA-REPLANTEO,M2,2026,24101,1563.45,,1579.13,1522.15,1719.79,,
