sucursal,codigo,descripcion,familia,unidad,estado,metodo,precio_2023,precio_2024,precio_2025,precio_2026,precio_2027,precio_2028,precio_2029,precio_2030
BARRANQUILLA,06725,SACO POLI TECHNIPAC-PLUAS 25KG,06,KG,EXISTENTE,PROY-1A,,,51960,55080,58380,61880,65590,69530
BARRANQUILLA,221583,LIMPIADOR FINAL DE OBRA CORONA,06,UN,EXISTENTE,PROY-1A,17650,18110,48170,51060,54120,57370,60810,64460
BARRANQUILLA,61001,ANTISOL BLANCO (20KG),06,KG,EXISTENTE,PROY-1A,,,9620,10200,10810,11460,12150,12880
BARRANQUILLA,61012,CURASEAL BLANCO X 200 KG,06,KG,EXISTENTE,REAL,4160,4160,3780,3620,3840,4070,4310,4570
BARRANQUILLA,61018,HARDTOP NO. 1,06,KG,EXISTENTE,REAL,4990,5290,6860,6860,7270,7710,8170,8660
BARRANQUILLA,61019,HARDTOP NO.2,06,KG,EXISTENTE,REAL,4440,4680,5600,5680,6020,6380,6760,7170
BARRANQUILLA,61021,HILTI HIT - RE 500,06,UN,EXISTENTE,PROY-3A,234750,248840,263770,279590,296370,314150,333000,352980
BARRANQUILLA,61039,SELLOTOC GRIS,06,KG,EXISTENTE,PROY-1A,,,1570,1660,1760,1870,1980,2100
BARRANQUILLA,61041,SIKA 101 O SIKA 1 MORT BL 25KG,06,KG,EXISTENTE,PROY-2A,2100,2330,2470,2620,2780,2950,3130,3320
BARRANQUILLA,61042,SIKA 101 O SIKA 1 MORT GR 25KG,06,KG,EXISTENTE,PROY-1A,1620,1720,2260,2400,2540,2690,2850,3020
BARRANQUILLA,61046,SIKA 1 (220 KG) O SIKACEM 100,06,KG,EXISTENTE,PROY-3A,5780,6130,6500,6880,7290,7730,8190,8680
BARRANQUILLA,61047,SIKA MULTISEAL X 10 X 10 MTS,06,RL,EXISTENTE,CORR,96510,102300,108440,114950,121850,129160,136910,145120
BARRANQUILLA,61049,SIKA LATEX (200KG) PEDIR 61452,06,KG,EXISTENTE,PROY-2A,,21420,22710,24070,25510,27040,28660,30380
BARRANQUILLA,61050,SIKA TOP 121 O 121 MONOCOMPONT,06,KG,EXISTENTE,PROY-2A,,3910,4140,4390,4650,4930,5230,5540
BARRANQUILLA,61052,ANTISOL BLANCO 200KG-BLANCO MO,06,KG,EXISTENTE,PROY-3A,4550,4820,5110,5420,5750,6100,6470,6860
BARRANQUILLA,61053,SIKA TOP 122 PLUS MC - MONOCOM,06,KG,EXISTENTE,PROY-1A,6880,4750,5820,6170,6540,6930,7350,7790
BARRANQUILLA,61057,SIKADUR 31,06,KG,EXISTENTE,REAL,65290,64180,66910,55110,58420,61930,65650,69590
BARRANQUILLA,61058,SIKADUR 32 PRIMER (1KG) - L,06,KG,EXISTENTE,PROY-3A,45510,48240,51130,54200,57450,60900,64550,68420
BARRANQUILLA,61066,SIKAFLEX 1A O CONSTR BL-GR 300,06,UN,EXISTENTE,CORR,,48700,51620,54720,58000,61480,65170,69080
BARRANQUILLA,61067,SIKAFLEX-1A BLANCO 600CC,06,UN,EXISTENTE,PROY-1A,38020,30940,52660,55820,59170,62720,66480,70470
BARRANQUILLA,61069,SIKALATEX (4.5 KG),06,KG,EXISTENTE,PROY-3A,18110,19200,20350,21570,22860,24230,25680,27220
BARRANQUILLA,61074,TOC 5010,06,KG,EXISTENTE,REAL,41260,64840,36970,41260,43740,46360,49140,52090
BARRANQUILLA,61075,TOXEMENT 1A,06,KG,EXISTENTE,PROY-1A,3080,3260,4310,4570,4840,5130,5440,5770
BARRANQUILLA,61080,SIKA 1 (20 KG) O SIKACEM 100,06,KG,EXISTENTE,PROY-3A,6250,6620,7020,7440,7890,8360,8860,9390
BARRANQUILLA,61092,ACRONAL,06,KG,EXISTENTE,PROY-2A,21960,24590,26070,27630,29290,31050,32910,34880
BARRANQUILLA,61106,SIKAFLOOR-3 QUARTZTOP (50KG),06,KG,EXISTENTE,PROY-3A,1010,1070,1130,1200,1270,1350,1430,1520
BARRANQUILLA,61113,VERTICOAT No. 2,06,KG,EXISTENTE,PROY-1A,,3860,3860,4090,4340,4600,4880,5170
BARRANQUILLA,61114,"SIKAROD d =3/8""",06,ML,EXISTENTE,PROY-2A,1470,1470,1560,1650,1750,1860,1970,2090
BARRANQUILLA,61132,CEMENTO MARINO,06,KG,EXISTENTE,REAL,7630,8230,7630,7470,7920,8400,8900,9430
BARRANQUILLA,61139,SIKAFILM,06,KG,EXISTENTE,REAL,,,,8070,8550,9060,9600,10180
BARRANQUILLA,61146,SIKASIL-E,06,UN,EXISTENTE,REAL,12470,12470,10630,10570,11200,11870,12580,13330
BARRANQUILLA,61147,SIKASIL-E BLANCA,06,UN,EXISTENTE,REAL,11110,10710,10710,10690,11330,12010,12730,13490
BARRANQUILLA,61149,SIKASIL-AC TRANSPARENTE,06,UN,EXISTENTE,PROY-2A,,28780,30510,32340,34280,36340,38520,40830
BARRANQUILLA,61168,SIKADUR PANEL,06,KG,EXISTENTE,PROY-1A,42280,44820,73160,77550,82200,87130,92360,97900
BARRANQUILLA,61174,SIKADUR 32 PRIMER (3KG) - L,06,KG,EXISTENTE,PROY-3A,116870,123880,131310,139190,147540,156390,165770,175720
BARRANQUILLA,61217,SIKA BOOM,06,UN,EXISTENTE,REAL,32450,33910,23070,23380,24780,26270,27850,29520
BARRANQUILLA,61218,EUCO CONCRELISTO,06,UN,EXISTENTE,PROY-3A,68540,72650,77010,81630,86530,91720,97220,103050
BARRANQUILLA,61232,TOXEMENT 200 TRANSPARENTE,06,UN,EXISTENTE,REAL,,,9520,9520,10090,10700,11340,12020
